name,sku,barcode,category,sales_price,product_cost,stock,warning_limit,unit,featured,unlimited,image
Aice Bingo 1 Ds,ID101,,,"97,000",0,0,0,,no,yes,
Aice Chocolate Chsripsy 1 ds,ID102,,,"117,000",0,0,0,,no,yes,
Aice Con Max 1ds,ID103,,,"97,500",0,0,0,,no,yes,
Aice Copy Chrispy 1 Ds,ID104,,,"110,000",0,0,0,,no,yes,
Aice Cream,ID105,,,"1,084,000",0,0,0,,no,yes,
Aice Fungsi 1 ds,ID106,,,"97,000",0,0,0,,no,yes,
Aice Melon 1ds,ID107,,,"95,000",0,0,0,,no,yes,
Aice Miki2 1 ds,ID108,,,"93,500",0,0,0,,no,yes,
Aice Moci 1 Ds,ID109,,,"94,500",0,0,0,,no,yes,
Aice Mociato,ID110,,,"8,000",0,0,0,,no,yes,
Aice nanas 1 Ds,ID111,,,"77,500",0,0,0,,no,yes,
Aice Semangka 1ds,ID112,,,"77,500",0,0,0,,no,yes,
Aice Stroowberry Chrispy 1 Ds,ID113,,,"110,000",0,0,0,,no,yes,
Aice Sunday cup 1 ds,ID114,,,"97,000",0,0,0,,no,yes,
Aice Sweet cron 1 ds,ID115,,,"96,000",0,0,0,,no,yes,
Aice Two Color 1 Ds,ID116,,,"92,000",0,0,0,,no,yes,
Aice Yo Gurt,ID117,,,"1,600",0,0,0,,no,yes,
Aida,ID118,,,"1,100",0,0,0,,no,yes,
Air Botol 1500 1ds,ID119,,,"24,000",0,0,0,,no,yes,
Air Botol 600 1 ds,ID120,,,"23,000",0,0,0,,no,yes,
Air Botol T 1000,ID121,,,900,0,0,0,,no,yes,
Air Botol T 1000 1 ds,ID122,,,"21,000",0,0,0,,no,yes,
Air Club 1500 Eceran,ID123,,,"3,250",0,0,0,,no,yes,
Air Club Tanggung,ID124,,,"1,450",0,0,0,,no,yes,
Air Fort 600 ml,ID125,,,"26,000",0,0,0,,no,yes,
Air Fort Gelas,ID126,,,"14,000",0,0,0,,no,yes,
Air Gelas,ID127,,,325,0,0,0,,no,yes,
Air Gia 1500,ID128,,,"24,000",0,0,0,,no,yes,
Air Giat 600,ID129,,,"22,000",0,0,0,,no,yes,
Air Gunung 1500,ID130,,,"27,000",0,0,0,,no,yes,
Air Gunung 1500 Eceran,ID131,,,"2,250",0,0,0,,no,yes,
Air Gunung 600,ID132,,,"27,000",0,0,0,,no,yes,
Air Gunung 600,ID133,,,"1,125",0,0,0,,no,yes,
Air Gunung Gelas,ID134,,,"16,000",0,0,0,,no,yes,
Air has 1500 1 ds,ID135,,,"25,000",0,0,0,,no,yes,
Air Has 1500 Eceran,ID136,,,"2,100",0,0,0,,no,yes,
Air Has 600 1 ds,ID137,,,"19,500",0,0,0,,no,yes,
Air Has 600 Eceran,ID138,,,825,0,0,0,,no,yes,
Air Isi Ulang,ID139,,,"3,500",0,0,0,,no,yes,
Air Mawar,ID140,,,"4,500",0,0,0,,no,yes,
Air Pola Gelas,ID141,,,"14,000",0,0,0,,no,yes,
Air Santri 1500 1ds ,ID142,,,"38,000",0,0,0,,no,yes,
Air Santri 1500 Eceran,ID143,,,"3,166",0,0,0,,no,yes,
Air Santri 600 1ds,ID144,,,"36,000",0,0,0,,no,yes,
Air Santri 600 Eceran,ID145,,,"1,500",0,0,0,,no,yes,
Air Ted 600,ID146,,,"25,000",0,0,0,,no,yes,
Air Top Qua Gelas,ID147,,,"14,000",0,0,0,,no,yes,
Air Zui 600 ml 1 ds,ID148,,,"22,000",0,0,0,,no,yes,
Aito,ID149,,,"9,000",0,0,0,,no,yes,
Ajinomoto 1000,ID150,,,900,0,0,0,,no,yes,
Aijomoto 3000,ID151,,,"2,500",0,0,0,,no,yes,
Ajinomoto 50 gr,ID152,,,"1,500",0,0,0,,no,yes,
Ajinomoto 90 gr,ID153,,,"4,500",0,0,0,,no,yes,
Ajinomoto 250 gr,ID154,,,"11,000",0,0,0,,no,yes,
Aktif Mild 16,ID155,,,"20,700",0,0,0,,no,yes,
Al Baik,ID156,,,"10,500",0,0,0,,no,yes,
Ai Bold,ID157,,,"24,500",0,0,0,,no,yes,
Al Filter 12,ID158,,,"15,500",0,0,0,,no,yes,
Al Filter 16,ID159,,,"20,500",0,0,0,,no,yes,
AI Mas,ID160,,,"9,000",0,0,0,,no,yes,
Al Qois 500 ml,ID161,,,"4,000",0,0,0,,no,yes,
Al Qomar,ID162,,,"9,000",0,0,0,,no,yes,
Alaina 600,ID163,,,"26,000",0,0,0,,no,yes,
Alaina Gelas,ID164,,,"14,500",0,0,0,,no,yes,
Alami,ID165,,,"8,400",0,0,0,,no,yes,
Alami 16,ID166,,,"10,000",0,0,0,,no,yes,
Alami dari Temu Lawak,ID167,,,"1,100",0,0,0,,no,yes,
Alami Sejuk,ID168,,,"8,100",0,0,0,,no,yes,
Alamo 1500 1 ds,ID169,,,"32,000",0,0,0,,no,yes,
Alamo 1500 Eceran,ID170,,,"2,666",0,0,0,,no,yes,
Alamo 600 ds,ID171,,,"32,500",0,0,0,,no,yes,
Alamo 600 Eceran,ID172,,,"1,354",0,0,0,,no,yes,
Alamo gelas,ID173,,,"21,000",0,0,0,,no,yes,
Ale Ale 1 ds,ID174,,,"19,500",0,0,0,,no,yes,
Alkohol 100 ml,ID175,,,"4,000",0,0,0,,no,yes,
Alphais Rasa Anggur,ID176,,,"12,000",0,0,0,,no,yes,
Alto,ID177,,,"10,000",0,0,0,,no,yes,
Altra,ID178,,,"7,000",0,0,0,,no,yes,
Altro,ID179,,,"13,100",0,0,0,,no,yes,
Amanda 7000,ID180,,,"6,500",0,0,0,,no,yes,
Amo,ID181,,,"2,000",0,0,0,,no,yes,
Amo B,ID182,,,"3,500",0,0,0,,no,yes,
Amoxilin,ID183,,,750,0,0,0,,no,yes,
Ampera,ID184,,,"8,000",0,0,0,,no,yes,
Amplop besar,ID185,,,180,0,0,0,,no,yes,
Amplop Eceran,ID186,,,130,0,0,0,,no,yes,
Amplop Grandia 1 pak,ID187,,,"13,000",0,0,0,,no,yes,
Amplop k Eceran,ID188,,,100,0,0,0,,no,yes,
Amplop T 1 Pak,ID189,,,"16,000",0,0,0,,no,yes,
Anak Sehat,ID190,,,900,0,0,0,,no,yes,
Anak Sumeng,ID191,,,700,0,0,0,,no,yes,
Anda Gelas,ID192,,,"14,000",0,0,0,,no,yes,
Andalan Filter ,ID193,,,"14,500",0,0,0,,no,yes,
Analan Filter 12,ID194,,,"15,200",0,0,0,,no,yes,
Andalan Kretek 12,ID195,,,"7,800",0,0,0,,no,yes,
Andalan Kretek 16,ID196,,,"10,600",0,0,0,,no,yes,
Andalan Kuning 16,ID197,,,"19,600",0,0,0,,no,yes,
Andalan Merah,ID198,,,"13,500",0,0,0,,no,yes,
Andalas,ID199,,,"8,000",0,0,0,,no,yes,
Andalas Kertas,ID200,,,"7,000",0,0,0,,no,yes,
Andalas Kotak,ID201,,,"7,000",0,0,0,,no,yes,
Aneka Biskuit 11000,ID202,,,"9,500",0,0,0,,no,yes,
Anget Sari Susu Jahe,ID203,,,"1,000",0,0,0,,no,yes,
Anget Sari Wedang Jahe,ID204,,,"1,000",0,0,0,,no,yes,
Angkuk,ID205,,,"3,500",0,0,0,,no,yes,
Antaka,ID206,,,"5,000",0,0,0,,no,yes,
Antangin,ID207,,,"3,000",0,0,0,,no,yes,
Antangin Anak,ID208,,,"1,850",0,0,0,,no,yes,
Antangin Tablet,ID209,,,750,0,0,0,,no,yes,
Anti Loyo,ID210,,,"5,500",0,0,0,,no,yes,
Antimo,ID211,,,600,0,0,0,,no,yes,
Antimo Anak,ID212,,,"1,500",0,0,0,,no,yes,
Antimo Anak Cair,ID213,,,"1,500",0,0,0,,no,yes,
Antis,ID214,,,833,0,0,0,,no,yes,
Antis 60 ml,ID215,,,"3,500",0,0,0,,no,yes,
Aoka 1 ds,ID216,,,"115,000",0,0,0,,no,yes,
Aoka Gulung,ID217,,,"105,000",0,0,0,,no,yes,
Aoka Gulung Eceran,ID218,,,"1,750",0,0,0,,no,yes,
Apcahe 12,ID219,,,"19,500",0,0,0,,no,yes,
Apache F 16,ID220,,,"23,500",0,0,0,,no,yes,
Apache Kretek,ID221,,,"9,000",0,0,0,,no,yes,
Apache Kretek 20,ID222,,,"16,500",0,0,0,,no,yes,
Apple 20,ID223,,,"14,500",0,0,0,,no,yes,
Aqua 1500 Eceran,ID224,,,"4,333",0,0,0,,no,yes,
Aqua 1500ml 1 Ds,ID225,,,"52,000",0,0,0,,no,yes,
Aqua 330 ml Eceran,ID226,,,"1,750",0,0,0,,no,yes,
Aqua 600 ml,ID227,,,"45,000",0,0,0,,no,yes,
Aqua Botol 330 ml Eceran,ID228,,,"1,750",0,0,0,,no,yes,
Aqua Botol 330 ml,ID229,,,"42,000",0,0,0,,no,yes,
Aqua Galon,ID230,,,"18,000",0,0,0,,no,yes,
Aqua Gelas ,ID231,,,"32,000",0,0,0,,no,yes,
Aqua T Eceran,ID232,,,"1,950",0,0,0,,no,yes,
Aqua Tulus 600 Eceran,ID233,,,"1,200",0,0,0,,no,yes,
Aqua Tulus 600 ,ID234,,,"29,000",0,0,0,,no,yes,
Aqua Vit Besar 1 Ds,ID235,,,"34,000",0,0,0,,no,yes,
Aqua Vit Besar Eceran,ID236,,,"2,850",0,0,0,,no,yes,
Aqua Vit Gelas,ID237,,,"20,500",0,0,0,,no,yes,
Aqua Vit T Eceran ,ID238,,,"1,400",0,0,0,,no,yes,
Aqua Vit T 1 Ds,ID239,,,"33,500",0,0,0,,no,yes,
Aqua Viva B,ID240,,,"2,000",0,0,0,,no,yes,
Aquades 600 ,ID241,,,"28,000",0,0,0,,no,yes,
Aquindo 1500,ID242,,,"28,000",0,0,0,,no,yes,
Aquavit B Ecerab ,ID243,,,"2,300",0,0,0,,no,yes,
Aquavit Besar,ID244,,,"33,000",0,0,0,,no,yes,
Aquavit T ds,ID245,,,"32,000",0,0,0,,no,yes,
Aquavit T Eceran,ID246,,,"1,150",0,0,0,,no,yes,
Aquaviva 700 Eceran,ID247,,,"1,875",0,0,0,,no,yes,
Aquaviva Besar 1 pk,ID248,,,1,0,0,0,,no,yes,
Aquaviva Besar Eceran,ID249,,,"2,800",0,0,0,,no,yes,
Arang,ID250,,,600,0,0,0,,no,yes,
Arang 2000,ID251,,,"1,500",0,0,0,,no,yes,
Arang 3000,ID252,,,"2,000",0,0,0,,no,yes,
Arang 4000,ID253,,,"2,500",0,0,0,,no,yes,
Arang 5000,ID254,,,"2,000",0,0,0,,no,yes,
Ardath,ID255,,,1,0,0,0,,no,yes,
Arden 10000,ID256,,,"8,000",0,0,0,,no,yes,
Adent 1 pk,ID257,,,"21,000",0,0,0,,no,yes,
Ares Putih 16,ID258,,,"19,000",0,0,0,,no,yes,
Ares Biru Eceran,ID259,,,"1,250",0,0,0,,no,yes,
Ares Blue,ID260,,,"15,300",0,0,0,,no,yes,
Ares Caisar,ID261,,,"15,300",0,0,0,,no,yes,
Ares Classic,ID262,,,"7,000",0,0,0,,no,yes,
Ares Hitam,ID263,,,"15,850",0,0,0,,no,yes,
Ares Hitam 20,ID264,,,"25,000",0,0,0,,no,yes,
Ares Inter,ID265,,,"14,800",0,0,0,,no,yes,
Ares Kretek,ID266,,,"8,000",0,0,0,,no,yes,
Ares Lite Series,ID267,,,"15,300",0,0,0,,no,yes,
Ares Merah,ID268,,,"14,600",0,0,0,,no,yes,
Ares Mind,ID269,,,"16,500",0,0,0,,no,yes,
Ares Putih,ID270,,,"14,300",0,0,0,,no,yes,
Ares Slim,ID271,,,"17,300",0,0,0,,no,yes,
Ares Caizar,ID272,,,"11,900",0,0,0,,no,yes,
Arja,ID273,,,"9,600",0,0,0,,no,yes,
Arja 16,ID274,,,"12,900",0,0,0,,no,yes,
Arja Mangga,ID275,,,"10,500",0,0,0,,no,yes,
