name,sku,barcode,category,sales_price,product_cost,stock,warning_limit,unit,featured,unlimited,image
Esse Hany Pop,ID1109,,,"33,500",0,0,0,,no,yes,
Esse Himalaya,ID1110,,,"43,000",0,0,0,,no,yes,
Essey hony Pop,ID1111,,,"33,500",0,0,0,,no,yes,
Esse Jus 12,ID1112,,,"22,800",0,0,0,,no,yes,
Esse Jus 16,ID1113,,,"31,500",0,0,0,,no,yes,
Esse maag Botol,ID1114,,,"15,000",0,0,0,,no,yes,
Esse Mag Cair,ID1115,,,"2,350",0,0,0,,no,yes,
Esse Mag tab,ID1116,,,"1,500",0,0,0,,no,yes,
Esse Mild,ID1117,,,"36,700",0,0,0,,no,yes,
Esse Mogito Double,ID1118,,,"33,500",0,0,0,,no,yes,
Esse Punch Pop,ID1119,,,"33,500",0,0,0,,no,yes,
Esse Shuffle Pop,ID1120,,,"33,500",0,0,0,,no,yes,
Este Gula Aren Saset,ID1121,,,"1,700",0,0,0,,no,yes,
Estea,ID1122,,,"2,500",0,0,0,,no,yes,
Estea Kotak,ID1123,,,"2,000",0,0,0,,no,yes,
Evangeline,ID1124,,,"30,000",0,0,0,,no,yes,
Everist,ID1125,,,"6,500",0,0,0,,no,yes,
Evo,ID1126,,,"22,400",0,0,0,,no,yes,
Evo 12,ID1127,,,"15,500",0,0,0,,no,yes,
Evo Bery 12,ID1128,,,"17,300",0,0,0,,no,yes,
Evo Bery 16,ID1129,,,"24,000",0,0,0,,no,yes,
Evo Series,ID1130,,,"21,900",0,0,0,,no,yes,
Evo Supra,ID1131,,,"21,500",0,0,0,,no,yes,
Exeed,ID1132,,,"10,700",0,0,0,,no,yes,
"Exis 2,5GB 3 Hari",ID1133,,,"10,600",0,0,0,,no,yes,
Exis 3Gb,ID1134,,,"10,600",0,0,0,,no,yes,
Expresso Gold,ID1135,,,"17,600",0,0,0,,no,yes,
Exsis,ID1136,,,"19,000",0,0,0,,no,yes,
Extra joss X,ID1137,,,"5,000",0,0,0,,no,yes,
Extra Joss 4g,ID1138,,,"1,050",0,0,0,,no,yes,
Fair Lovely Cream 23 gr,ID1139,,,"14,500",0,0,0,,no,yes,
Fair Lovely Krim,ID1140,,,"3,750",0,0,0,,no,yes,
Fair Lovely Sabun,ID1141,,,"2,750",0,0,0,,no,yes,
Fair Lovely,ID1142,,,"16,500",0,0,0,,no,yes,
Fajar Berlian Hitam,ID1143,,,"9,800",0,0,0,,no,yes,
Fajar Berlian ungu,ID1144,,,"9,800",0,0,0,,no,yes,
anta 1 L,ID1145,,,"8,500",0,0,0,,no,yes,
Fanta 1500,ID1146,,,"11,000",0,0,0,,no,yes,
Fanta 390 ml,ID1147,,,"4,000",0,0,0,,no,yes,
Fanta Kaleng,ID1148,,,"5,500",0,0,0,,no,yes,
Fanta Kecil,ID1149,,,"2,650",0,0,0,,no,yes,
Fanta Putih Kecil,ID1150,,,"2,500",0,0,0,,no,yes,
Fantastic Ungu,ID1151,,,"10,000",0,0,0,,no,yes,
Fantastik,ID1152,,,"8,500",0,0,0,,no,yes,
Fantstik click,ID1153,,,"10,500",0,0,0,,no,yes,
farfum Talkmi,ID1154,,,1,0,0,0,,no,yes,
Farfum 10000,ID1155,,,"8,000",0,0,0,,no,yes,
farfum 12000,ID1156,,,"10,000",0,0,0,,no,yes,
Farfum 20000,ID1157,,,"18,000",0,0,0,,no,yes,
Farfum 22000,ID1158,,,"20,000",0,0,0,,no,yes,
Farfum 25000,ID1159,,,"23,000",0,0,0,,no,yes,
Farfum 9000,ID1160,,,"7,000",0,0,0,,no,yes,
Ffarfum Bellageo 100,ID1161,,,"27,000",0,0,0,,no,yes,
Farfum Disney,ID1162,,,"18,000",0,0,0,,no,yes,
Farfum Regazza 100 ml,ID1163,,,"28,500",0,0,0,,no,yes,
Farfum Shoft,ID1164,,,"12,000",0,0,0,,no,yes,
Farnifan,ID1165,,,"4,500",0,0,0,,no,yes,
Fasidol,ID1166,,,"1,000",0,0,0,,no,yes,
Fatigon,ID1167,,,750,0,0,0,,no,yes,
fatigon Spirit,ID1168,,,"1,500",0,0,0,,no,yes,
Femistan,ID1169,,,"1,500",0,0,0,,no,yes,
Fermifan 4x11g,ID1170,,,"4,000",0,0,0,,no,yes,
Ferro,ID1171,,,"19,000",0,0,0,,no,yes,
Fila Saset,ID1172,,,900,0,0,0,,no,yes,
Filter Kaleng,ID1173,,,"94,000",0,0,0,,no,yes,
Filter Kretek,ID1174,,,"16,350",0,0,0,,no,yes,
Filter Kretek Eceran,ID1175,,,"1,350",0,0,0,,no,yes,
Fim,ID1176,,,"13,800",0,0,0,,no,yes,
Fin Sensa,ID1177,,,"18,500",0,0,0,,no,yes,
Finto Serbuk Saset,ID1178,,,300,0,0,0,,no,yes,
Fit Botol,ID1179,,,"17,500",0,0,0,,no,yes,
Fit Mil,ID1180,,,"17,500",0,0,0,,no,yes,
Fix Mentol,ID1181,,,"18,500",0,0,0,,no,yes,
Flash,ID1182,,,"8,500",0,0,0,,no,yes,
Flaz,ID1183,,,"10,000",0,0,0,,no,yes,
Floridina,ID1184,,,"2,500",0,0,0,,no,yes,
Flu  Tulang Merah,ID1185,,,550,0,0,0,,no,yes,
Follow 500 1 pak,ID1186,,,"10,500",0,0,0,,no,yes,
Formula 160 gr,ID1187,,,"8,500",0,0,0,,no,yes,
Formula 44,ID1188,,,"10,000",0,0,0,,no,yes,
Forpita,ID1189,,,"6,000",0,0,0,,no,yes,
Fort 1500 1 ds,ID1190,,,"26,000",0,0,0,,no,yes,
Fort 1500 Eceran,ID1191,,,"2,170",0,0,0,,no,yes,
Forte,ID1192,,,"25,100",0,0,0,,no,yes,
Fortek,ID1193,,,"18,500",0,0,0,,no,yes,
Fren Dress 2000 1 ds,ID1194,,,"69,000",0,0,0,,no,yes,
Fren Fress B,ID1195,,,"9,000",0,0,0,,no,yes,
Fres Mild Susu,ID1196,,,"6,500",0,0,0,,no,yes,
Fresco,ID1197,,,"1,700",0,0,0,,no,yes,
Frescol,ID1198,,,"16,000",0,0,0,,no,yes,
Fresen Flag 10000,ID1199,,,"9,000",0,0,0,,no,yes,
Fresen Flag 225,ID1200,,,"4,800",0,0,0,,no,yes,
Fresen Flag 280 ml,ID1201,,,"9,500",0,0,0,,no,yes,
Frsen Flag 545 ml,ID1202,,,"14,500",0,0,0,,no,yes,
Fresen Flag Bubuk,ID1203,,,"3,000",0,0,0,,no,yes,
Fresh Care 10 ml,ID1204,,,"10,500",0,0,0,,no,yes,
Fresen Flag saset bubuk,ID1205,,,"2,500",0,0,0,,no,yes,
Fress 100 ml,ID1206,,,"8,000",0,0,0,,no,yes,
Fresta,ID1207,,,300,0,0,0,,no,yes,
freste Gelas 1 ds,ID1208,,,"37,000",0,0,0,,no,yes,
Frestea 350 ml,ID1209,,,"3,250",0,0,0,,no,yes,
Frestea 500,ID1210,,,"4,800",0,0,0,,no,yes,
Frestea Gelas,ID1211,,,"38,000",0,0,0,,no,yes,
Frisian Flag Coklat,ID1212,,,"11,500",0,0,0,,no,yes,
Frisian Flag 1 pak,ID1213,,,"7,800",0,0,0,,no,yes,
Frisian Flag Eceran ,ID1214,,,"1,300",0,0,0,,no,yes,
Frisian Flag Kaleng,ID1215,,,"11,500",0,0,0,,no,yes,
Frosbite 4000,ID1216,,,"3,200",0,0,0,,no,yes,
Frosbite 5000,ID1217,,,"4,000",0,0,0,,no,yes,
Frosbite 6000,ID1218,,,"4,800",0,0,0,,no,yes,
Fruit Sosro,ID1219,,,"4,000",0,0,0,,no,yes,
Fruit Tea,ID1220,,,"3,700",0,0,0,,no,yes,
Fruit Tea 500 ml,ID1221,,,"4,800",0,0,0,,no,yes,
Fruit Tea Kotak,ID1222,,,"2,650",0,0,0,,no,yes,
Fruitea Punch,ID1223,,,"4,500",0,0,0,,no,yes,
Fruto,ID1224,,,350,0,0,0,,no,yes,
Fullo 1 pak,ID1225,,,"10,500",0,0,0,,no,yes,
Fuluita,ID1226,,,"1,700",0,0,0,,no,yes,
GA,ID1227,,,"8,600",0,0,0,,no,yes,
Garam Kasar,ID1228,,,"1,500",0,0,0,,no,yes,
Gabin Coklat 125 g,ID1229,,,"4,000",0,0,0,,no,yes,
Gabin UBM,ID1230,,,"10,000",0,0,0,,no,yes,
Gading Mas,ID1231,,,"7,000",0,0,0,,no,yes,
Gajah Baru Eceran,ID1232,,,"1,355",0,0,0,,no,yes,
Gajah Baru 12,ID1233,,,"16,400",0,0,0,,no,yes,
Gajah Baru Kretek,ID1234,,,"7,350",0,0,0,,no,yes,
Gajah Baru Kretek 16,ID1235,,,"10,000",0,0,0,,no,yes,
Gajah Baru origin 12,ID1236,,,"17,500",0,0,0,,no,yes,
Gajah Baru Origin 16,ID1237,,,"21,350",0,0,0,,no,yes,
Galang Baru Eceran,ID1238,,,"1,342",0,0,0,,no,yes,
Galang Filter 12,ID1239,,,"16,100",0,0,0,,no,yes,
Galang Filter 16,ID1240,,,"19,600",0,0,0,,no,yes,
Galang Kretek ,ID1241,,,"7,000",0,0,0,,no,yes,
Geliga 10 gr,ID1242,,,"4,500",0,0,0,,no,yes,
Geliga 20 g,ID1243,,,"8,500",0,0,0,,no,yes,
Galon cleo isi,ID1244,,,"15,000",0,0,0,,no,yes,
Galuh,ID1245,,,"8,300",0,0,0,,no,yes,
Gandifa,ID1246,,,"8,000",0,0,0,,no,yes,
Gangsar 10000,ID1247,,,"8,000",0,0,0,,no,yes,
Gangsar 2000,ID1248,,,"1,600",0,0,0,,no,yes,
Gangsar 6000,ID1249,,,"5,000",0,0,0,,no,yes,
Garam 1000,ID1250,,,800,0,0,0,,no,yes,
Garam 2000,ID1251,,,"1,400",0,0,0,,no,yes,
Garam 5000,ID1252,,,"3,500",0,0,0,,no,yes,
Garam batak,ID1253,,,"6,000",0,0,0,,no,yes,
garam Batak 1 pc,ID1254,,,600,0,0,0,,no,yes,
Garam Kasar ,ID1255,,,"1,500",0,0,0,,no,yes,
Garam Kasar 1 kl,ID1256,,,"7,000",0,0,0,,no,yes,
garam Segi3,ID1257,,,"2,000",0,0,0,,no,yes,
Garnam,ID1258,,,"9,000",0,0,0,,no,yes,
Garnier 100 ml,ID1259,,,"24,500",0,0,0,,no,yes,
Garnier facial Foam kuning 100 ml,ID1260,,,"20,000",0,0,0,,no,yes,
Garnier krim,ID1261,,,"4,500",0,0,0,,no,yes,
Garnier Kuning 50 ml,ID1262,,,"16,500",0,0,0,,no,yes,
Garnier Man,ID1263,,,"24,500",0,0,0,,no,yes,
Garnnier Ping facial Foam 100 ml,ID1264,,,"19,000",0,0,0,,no,yes,
Garnier Sabun,ID1265,,,"3,500",0,0,0,,no,yes,
Garnier Sakura saset,ID1266,,,"3,750",0,0,0,,no,yes,
Garuda Pukul 9000,ID1267,,,"8,000",0,0,0,,no,yes,
Gastby Deodoran,ID1268,,,"15,500",0,0,0,,no,yes,
gastby Deodoran,ID1269,,,"16,500",0,0,0,,no,yes,
gastby 28 g,ID1270,,,"4,000",0,0,0,,no,yes,
Gastby Baju,ID1271,,,"1,400",0,0,0,,no,yes,
gastby Campur,ID1272,,,833,0,0,0,,no,yes,
Gastby Master,ID1273,,,"12,000",0,0,0,,no,yes,
gastby Plash Cologen,ID1274,,,"13,500",0,0,0,,no,yes,
gatsby pomade,ID1275,,,833,0,0,0,,no,yes,
gastby pomade 15000,ID1276,,,"12,500",0,0,0,,no,yes,
Gastby pomade 30 gr,ID1277,,,"9,000",0,0,0,,no,yes,
Gastby pomde 80 gr,ID1278,,,"24,500",0,0,0,,no,yes,
gatsby THC 70 gr,ID1279,,,"12,500",0,0,0,,no,yes,
Gastby Urban 125,ID1280,,,"17,500",0,0,0,,no,yes,
Gatsby WG 75 gr,ID1281,,,"8,500",0,0,0,,no,yes,
Gayung ,ID1282,,,"8,000",0,0,0,,no,yes,
Gaze,ID1283,,,"9,000",0,0,0,,no,yes,
Geboy,ID1284,,,"10,500",0,0,0,,no,yes,
Gelamour,ID1285,,,"11,100",0,0,0,,no,yes,
Gelang Karet,ID1286,,,"12,000",0,0,0,,no,yes,
Gelang Karet 1000,ID1287,,,800,0,0,0,,no,yes,
Gelang 8000,ID1288,,,"7,000",0,0,0,,no,yes,
Gelang Agar,ID1289,,,"5,000",0,0,0,,no,yes,
Gelas Cup 14,ID1290,,,"8,500",0,0,0,,no,yes,
Gelas Cup 16,ID1291,,,"12,000",0,0,0,,no,yes,
Geas Cup 16000,ID1292,,,"14,500",0,0,0,,no,yes,
Gelas Cup 8000,ID1293,,,"7,000",0,0,0,,no,yes,
Gelas Cup Uk 10,ID1294,,,"6,500",0,0,0,,no,yes,
Gelas Ice,ID1295,,,"8,500",0,0,0,,no,yes,
Gelas Kerta 23000,ID1296,,,"21,000",0,0,0,,no,yes,
Gelas Kopi 1 pak,ID1297,,,"5,000",0,0,0,,no,yes,
Gelas Kopi Eceran,ID1298,,,100,0,0,0,,no,yes,
Gelas Pop Ice,ID1299,,,"8,500",0,0,0,,no,yes,
Geliga 10 ,ID1300,,,"4,500",0,0,0,,no,yes,
Geliga 20 gr,ID1301,,,"8,500",0,0,0,,no,yes,
Geliga 40 gr,ID1302,,,"13,500",0,0,0,,no,yes,
Geliga 60 ml,ID1303,,,"23,000",0,0,0,,no,yes,
Generasi,ID1304,,,"9,750",0,0,0,,no,yes,
Genesis,ID1305,,,"8,800",0,0,0,,no,yes,
Genisis,ID1306,,,"9,000",0,0,0,,no,yes,
Gental Men saset,ID1307,,,900,0,0,0,,no,yes,
Gentalmen Blue,ID1308,,,900,0,0,0,,no,yes,
Gental Men 360 ml,ID1309,,,"4,000",0,0,0,,no,yes,
Gentalgen 700 ml,ID1310,,,"13,500",0,0,0,,no,yes,
Gentong,ID1311,,,"9,000",0,0,0,,no,yes,
Geo Kretek,ID1312,,,"10,000",0,0,0,,no,yes,
Geo Mild,ID1313,,,"24,500",0,0,0,,no,yes,
Gery 1 pak,ID1314,,,"6,000",0,0,0,,no,yes,
Gery Sereal 1 ds,ID1315,,,"102,000",0,0,0,,no,yes,
Getol Cair 410,ID1316,,,"24,000",0,0,0,,no,yes,
GG Coklat,ID1317,,,"14,500",0,0,0,,no,yes,
GG Filter,ID1318,,,"25,200",0,0,0,,no,yes,
GG Filter Eceran ,ID1319,,,"1,880",0,0,0,,no,yes,
GG jaja,ID1320,,,"14,400",0,0,0,,no,yes,
GG Kretek 12,ID1321,,,"13,500",0,0,0,,no,yes,
GG Kretek 16,ID1322,,,"16,500",0,0,0,,no,yes,
GG Merah,ID1323,,,"14,500",0,0,0,,no,yes,
GG Merah Eceran,ID1324,,,"1,200",0,0,0,,no,yes,
GG Merah 16,ID1325,,,"17,800",0,0,0,,no,yes,
GG Merah Baru,ID1326,,,"14,400",0,0,0,,no,yes,
GG Mild,ID1327,,,"19,500",0,0,0,,no,yes,
GG Move,ID1328,,,"14,500",0,0,0,,no,yes,
GG Silver,ID1329,,,"20,500",0,0,0,,no,yes,
GG Silver 16,ID1330,,,"28,000",0,0,0,,no,yes,
GG Spesial,ID1331,,,"21,000",0,0,0,,no,yes,
GH Gelas,ID1332,,,"13,000",0,0,0,,no,yes,
Giat Gelas,ID1333,,,"14,000",0,0,0,,no,yes,
Gico,ID1334,,,"8,500",0,0,0,,no,yes,
Gigi dan Gusi,ID1335,,,550,0,0,0,,no,yes,
Give Cair 250,ID1336,,,"13,500",0,0,0,,no,yes,
Give cair 400 ml,ID1337,,,"18,500",0,0,0,,no,yes,
Give cair 60 ml,ID1338,,,"2,500",0,0,0,,no,yes,
Gizzi 115 ml,ID1339,,,"2,500",0,0,0,,no,yes,
GL Kreek,ID1340,,,"8,000",0,0,0,,no,yes,
Gl Filter 12,ID1341,,,"15,000",0,0,0,,no,yes,
Glade 18000,ID1342,,,"16,000",0,0,0,,no,yes,
Gleo,ID1343,,,"23,500",0,0,0,,no,yes,
Glizz,ID1344,,,"21,500",0,0,0,,no,yes,
GM,ID1345,,,"8,000",0,0,0,,no,yes,
GMP,ID1346,,,"135,000",0,0,0,,no,yes,
Go Potato 1 pak,ID1347,,,"17,000",0,0,0,,no,yes,
Good Day Arobian,ID1348,,,"1,600",0,0,0,,no,yes,
Good Day Botol,ID1349,,,"5,000",0,0,0,,no,yes,
Good Day Cappucino 1 ds,ID1350,,,"203,000",0,0,0,,no,yes,
Good Day Freeze,ID1351,,,"2,300",0,0,0,,no,yes,
Good Day Moccacino 1 ds,ID1352,,,"166,000",0,0,0,,no,yes,
Good Day Cappucino ,ID1353,,,"1,950",0,0,0,,no,yes,
Good day merah,ID1354,,,"1,400",0,0,0,,no,yes,
Good Day Saset Campur,ID1355,,,"1,400",0,0,0,,no,yes,
Good Mood,ID1356,,,"4,800",0,0,0,,no,yes,
Goela Aren,ID1357,,,1,0,0,0,,no,yes,
Gol Pedent,ID1358,,,"5,500",0,0,0,,no,yes,
Gol Taem 350,ID1359,,,"4,800",0,0,0,,no,yes,
Golda 1 pak,ID1360,,,"35,000",0,0,0,,no,yes,
Golda Coffee 200 ml,ID1361,,,"2,920",0,0,0,,no,yes,
Golden Chirp 1000 1 ds,ID1362,,,"4,600",0,0,0,,no,yes,
Good Time 1000 1pak,ID1363,,,"11,000",0,0,0,,no,yes,
Good Time 2000 1 pak,ID1364,,,"21,000",0,0,0,,no,yes,
Good Day Campue,ID1365,,,"1,150",0,0,0,,no,yes,
GooD Day Cappucino with Cocoa Granule,ID1366,,,"1,700",0,0,0,,no,yes,
Gope 2000 1 ds,ID1367,,,"64,000",0,0,0,,no,yes,
Go potato 500 1 pak,ID1368,,,"8,500",0,0,0,,no,yes,
Goreo reo 1 pak,ID1369,,,"9,000",0,0,0,,no,yes,
Gowel ,ID1370,,,"1,700",0,0,0,,no,yes,
GP 2 Kretek,ID1371,,,"8,500",0,0,0,,no,yes,
GP Classic 2,ID1372,,,"7,500",0,0,0,,no,yes,
GP one,ID1373,,,"15,500",0,0,0,,no,yes,
GP wan 16,ID1374,,,"18,800",0,0,0,,no,yes,
GP 3,ID1375,,,"6,800",0,0,0,,no,yes,
GPU 30 ml,ID1376,,,"9,500",0,0,0,,no,yes,
GPU 60 Ml,ID1377,,,"15,200",0,0,0,,no,yes,
Gran Max,ID1378,,,"6,800",0,0,0,,no,yes,
Granita 1 ds,ID1379,,,"33,000",0,0,0,,no,yes,
Greesh Jeruk Nipis,ID1380,,,"2,650",0,0,0,,no,yes,
Gran Max,ID1381,,,"9,000",0,0,0,,no,yes,
Gren Send,ID1382,,,"7,000",0,0,0,,no,yes,
Grenndel 12,ID1383,,,"14,500",0,0,0,,no,yes,
Grendel 16,ID1384,,,"19,000",0,0,0,,no,yes,
Grenndel Kretek,ID1385,,,"6,800",0,0,0,,no,yes,
Grenndel Mild,ID1386,,,"19,000",0,0,0,,no,yes,
Grenndel Utama 12,ID1387,,,"7,800",0,0,0,,no,yes,
Grendel Utama 16,ID1388,,,"9,500",0,0,0,,no,yes,
Grentea,ID1389,,,"8,500",0,0,0,,no,yes,
Grow 12,ID1390,,,"15,500",0,0,0,,no,yes,
Grow 16,ID1391,,,"19,500",0,0,0,,no,yes,
Grow Bold,ID1392,,,"24,000",0,0,0,,no,yes,
Grow Bold 12,ID1393,,,"15,500",0,0,0,,no,yes,
Grow Kretek,ID1394,,,"7,000",0,0,0,,no,yes,
Grow Ungu 16,ID1395,,,"22,500",0,0,0,,no,yes,
Grow Ungu 16,ID1396,,,"17,000",0,0,0,,no,yes,
GT,ID1397,,,"23,500",0,0,0,,no,yes,
GT red 20,ID1398,,,"24,800",0,0,0,,no,yes,
GUCI ,ID1399,,,"8,000",0,0,0,,no,yes,
Gudang alam,ID1400,,,"7,500",0,0,0,,no,yes,
Gudang Baru Kretek,ID1401,,,"7,500",0,0,0,,no,yes,
Gudang Berkah,ID1402,,,"11,000",0,0,0,,no,yes,
Gudang Cengkeh,ID1403,,,"13,800",0,0,0,,no,yes,
Gudang Cengkeh Eceran,ID1404,,,675,0,0,0,,no,yes,
Gudang garam Elove Kretek 16,ID1405,,,"18,500",0,0,0,,no,yes,
Gudang Garam Ekslusif,ID1406,,,"43,000",0,0,0,,no,yes,
Gudang Garam King Kretek,ID1407,,,"18,500",0,0,0,,no,yes,
Gudanng garam Patra,ID1408,,,"14,500",0,0,0,,no,yes,
Gudang Kopi,ID1409,,,"7,000",0,0,0,,no,yes,
Gudang Semin,ID1410,,,"9,000",0,0,0,,no,yes,
Gula Halus 1/4,ID1411,,,"6,500",0,0,0,,no,yes,
Gula Kemasan 1 kl,ID1412,,,"17,000",0,0,0,,no,yes,
Gula Merah 1/4,ID1413,,,"4,500",0,0,0,,no,yes,
Gula Merah 1000,ID1414,,,800,0,0,0,,no,yes,
Gula Merah 1 kl,ID1415,,,"17,000",0,0,0,,no,yes,
Gula Merah 2000,ID1416,,,"1,500",0,0,0,,no,yes,
Gula Merah 500,ID1417,,,400,0,0,0,,no,yes,
Gula Merah 1/2,ID1418,,,"9,000",0,0,0,,no,yes,
Gula Putih,ID1419,,,"8,500",0,0,0,,no,yes,
Gula Putih,ID1420,,,"17,000",0,0,0,,no,yes,
Gula Putih,ID1421,,,"4,250",0,0,0,,no,yes,
Gula Putih saset 1000,ID1422,,,900,0,0,0,,no,yes,
Gulaku 250,ID1423,,,"4,500",0,0,0,,no,yes,
Gulaku 500 gr,ID1424,,,"8,500",0,0,0,,no,yes,
Gunting B,ID1425,,,"4,000",0,0,0,,no,yes,
Guting,ID1426,,,"11,000",0,0,0,,no,yes,
Gunting K,ID1427,,,"3,500",0,0,0,,no,yes,
Gunung Cengkeh,ID1428,,,"9,500",0,0,0,,no,yes,
Gunung Cengkeh 12,ID1429,,,"7,200",0,0,0,,no,yes,
Gunung Cengkeh 20,ID1430,,,"10,000",0,0,0,,no,yes,
Gunung Gula,ID1431,,,"19,000",0,0,0,,no,yes,
Gunung Harta,ID1432,,,"8,500",0,0,0,,no,yes,
Gunung Semen 16,ID1433,,,"8,300",0,0,0,,no,yes,
Gurimi,ID1434,,,"1,600",0,0,0,,no,yes,
Gx,ID1435,,,"9,300",0,0,0,,no,yes,
GX Merah,ID1436,,,"9,000",0,0,0,,no,yes,
H Min Clic,ID1437,,,"10,500",0,0,0,,no,yes,
H Min Filter,ID1438,,,"9,500",0,0,0,,no,yes,
Hachiko Bawang Putih bubuk,ID1439,,,450,0,0,0,,no,yes,
Hair Magig,ID1440,,,"6,000",0,0,0,,no,yes,
Halim,ID1441,,,"21,500",0,0,0,,no,yes,
Handbody Citra 100 ml,ID1442,,,"10,500",0,0,0,,no,yes,
Hand Tamara 95 ml,ID1443,,,"3,000",0,0,0,,no,yes,
Handbody Emeron,ID1444,,,"4,000",0,0,0,,no,yes,
handbody Mustika ratu 75 ml,ID1445,,,"12,500",0,0,0,,no,yes,
Handbody Okana,ID1446,,,"1,500",0,0,0,,no,yes,
Handbody si dia,ID1447,,,"2,000",0,0,0,,no,yes,
Hand body Zin Zui 100 ml,ID1448,,,"12,000",0,0,0,,no,yes,
Hand Sanitizer,ID1449,,,"10,000",0,0,0,,no,yes,
Hansaplast,ID1450,,,280,0,0,0,,no,yes,
Happy Nepy isi 9,ID1451,,,"15,000",0,0,0,,no,yes,
Happy Tos 5000,ID1452,,,"4,500",0,0,0,,no,yes,
Happy Tos Jumbo 13000,ID1453,,,"12,000",0,0,0,,no,yes,
Happy Zaitun 100 ml,ID1454,,,"8,000",0,0,0,,no,yes,
Haris Putih ,ID1455,,,"15,500",0,0,0,,no,yes,
Harmoni,ID1456,,,"11,000",0,0,0,,no,yes,
Harmoni 16,ID1457,,,"11,200",0,0,0,,no,yes,
Harmoni 20,ID1458,,,1,0,0,0,,no,yes,
Harmoni Filter 16,ID1459,,,"19,800",0,0,0,,no,yes,
Harmony Filter,ID1460,,,"14,250",0,0,0,,no,yes,
Harpic 200 ml,ID1461,,,"12,500",0,0,0,,no,yes,
Hharpic 450 ml,ID1462,,,"16,500",0,0,0,,no,yes,
Harpic saset,ID1463,,,"1,000",0,0,0,,no,yes,
Harum Manis teh ,ID1464,,,"7,900",0,0,0,,no,yes,
Hatari,ID1465,,,"6,000",0,0,0,,no,yes,
Have,ID1466,,,"18,500",0,0,0,,no,yes,
Have,ID1467,,,"11,900",0,0,0,,no,yes,
Hawai,ID1468,,,"2,500",0,0,0,,no,yes,
Head And Soulder 70 ml,ID1469,,,"12,500",0,0,0,,no,yes,
Heleum,ID1470,,,"19,900",0,0,0,,no,yes,
Hemafiton Extion,ID1471,,,"1,500",0,0,0,,no,yes,
Hemafiton Jreng,ID1472,,,900,0,0,0,,no,yes,
Hemafiton Bubuk,ID1473,,,900,0,0,0,,no,yes,
Hemaviton plus,ID1474,,,"1,500",0,0,0,,no,yes,
Hemaviton X,ID1475,,,"4,500",0,0,0,,no,yes,
Hero Hitam,ID1476,,,"13,500",0,0,0,,no,yes,
Hero Putih,ID1477,,,"13,500",0,0,0,,no,yes,
Herrocyn 85 g,ID1478,,,"12,000",0,0,0,,no,yes,
Herocyn Botol 100 gr,ID1479,,,"12,000",0,0,0,,no,yes,
Herocyn 150 gr,ID1480,,,"14,500",0,0,0,,no,yes,
hers Protex 10,ID1481,,,"6,500",0,0,0,,no,yes,
Hers Protex Maxi Wing 23 cm,ID1482,,,400,0,0,0,,no,yes,
Hexa Gelas,ID1483,,,"14,500",0,0,0,,no,yes,
HF,ID1484,,,"9,000",0,0,0,,no,yes,
Hilo,ID1485,,,"1,500",0,0,0,,no,yes,
Hima,ID1486,,,"12,900",0,0,0,,no,yes,
Hip Hop,ID1487,,,"27,000",0,0,0,,no,yes,
Histeria,ID1488,,,"7,000",0,0,0,,no,yes,
Hit Bakar,ID1489,,,833,0,0,0,,no,yes,
Hit Besar,ID1490,,,"28,000",0,0,0,,no,yes,
Hit Classic,ID1491,,,"9,000",0,0,0,,no,yes,
Hit Colok,ID1492,,,"8,000",0,0,0,,no,yes,
Hit Colok saset,ID1493,,,850,0,0,0,,no,yes,
Hit isi Ulang + alat,ID1494,,,"16,000",0,0,0,,no,yes,
Hit Magic,ID1495,,,833,0,0,0,,no,yes,
Hit Mat 12000,ID1496,,,"10,000",0,0,0,,no,yes,
Hit Met,ID1497,,,833,0,0,0,,no,yes,
Hit Met Kotak 7500,ID1498,,,"5,500",0,0,0,,no,yes,
Hit Piramida 3000,ID1499,,,"2,500",0,0,0,,no,yes,
Hit Semprot,ID1500,,,"14,500",0,0,0,,no,yes,
Hitop 15 ml,ID1501,,,"10,500",0,0,0,,no,yes,
HJS,ID1502,,,"11,500",0,0,0,,no,yes,
HM 12,ID1503,,,"9,000",0,0,0,,no,yes,
HM 20,ID1504,,,"11,000",0,0,0,,no,yes,
HND,ID1505,,,"6,500",0,0,0,,no,yes,
Hoki,ID1506,,,"9,000",0,0,0,,no,yes,
Hong Guan 275 gr,ID1507,,,"9,500",0,0,0,,no,yes,
Hot in Krim,ID1508,,,"15,500",0,0,0,,no,yes,
Hotwan,ID1509,,,"13,600",0,0,0,,no,yes,
HRJ,ID1510,,,"13,500",0,0,0,,no,yes,
HS,ID1511,,,"9,000",0,0,0,,no,yes,
Humer,ID1512,,,"7,500",0,0,0,,no,yes,
Humer Merah,ID1513,,,"6,700",0,0,0,,no,yes,
Hydro Coco,ID1514,,,"5,400",0,0,0,,no,yes,
Hydro Plus,ID1515,,,"3,500",0,0,0,,no,yes,
Hydro coco 500 ml,ID1516,,,"11,000",0,0,0,,no,yes,
Hysa B,ID1517,,,"27,000",0,0,0,,no,yes,
Hysa B Eceran,ID1518,,,"2,250",0,0,0,,no,yes,
Hysa Gelas,ID1519,,,"12,500",0,0,0,,no,yes,
Hysa T,ID1520,,,"27,000",0,0,0,,no,yes,
Hysa T Eceran,ID1521,,,"1,125",0,0,0,,no,yes,
Ice 4500,ID1522,,,"3,700",0,0,0,,no,yes,
